"month","in_government","Regime","Score","Role"
2022-02-01,"1","Exploratory",0.243142630273861,"Government"
2022-02-01,"1","Managerial",0.65928060482657,"Government"
2022-03-01,"0","Exploratory",0.507851166513762,"Opposition"
2022-03-01,"0","Managerial",0.317507334451502,"Opposition"
2022-03-01,"1","Exploratory",0.185248643041569,"Government"
2022-03-01,"1","Managerial",0.60004948949222,"Government"
2022-04-01,"0","Exploratory",0.602747432207375,"Opposition"
2022-04-01,"0","Managerial",0.0983839463183813,"Opposition"
2022-04-01,"1","Exploratory",0.553050345326634,"Government"
2022-04-01,"1","Managerial",0.196115769011949,"Government"
2022-05-01,"0","Exploratory",0.503639608314506,"Opposition"
2022-05-01,"0","Managerial",0.307981310090776,"Opposition"
2022-05-01,"1","Exploratory",0.313460878199762,"Government"
2022-05-01,"1","Managerial",0.407622886380511,"Government"
2022-06-01,"0","Exploratory",0.509599446503154,"Opposition"
2022-06-01,"0","Managerial",0.375940717343398,"Opposition"
2022-06-01,"1","Exploratory",0.236565422767412,"Government"
2022-06-01,"1","Managerial",0.545303909638644,"Government"
2022-07-01,"0","Exploratory",0.517533596797475,"Opposition"
2022-07-01,"0","Managerial",0.272629343194378,"Opposition"
2022-07-01,"1","Exploratory",0.238514616852522,"Government"
2022-07-01,"1","Managerial",0.625983546452154,"Government"
2022-09-01,"0","Exploratory",0.425236705692297,"Opposition"
2022-09-01,"0","Managerial",0.476579952865475,"Opposition"
2022-09-01,"1","Exploratory",0.198893125162186,"Government"
2022-09-01,"1","Managerial",0.758232756841179,"Government"
2022-10-01,"0","Exploratory",0.723256557956947,"Opposition"
2022-10-01,"0","Managerial",0.165748282796627,"Opposition"
2022-10-01,"1","Exploratory",0.301987323564399,"Government"
2022-10-01,"1","Managerial",0.527285875229327,"Government"
2022-11-01,"0","Exploratory",0.682398784847664,"Opposition"
2022-11-01,"0","Managerial",0.250032659249388,"Opposition"
2022-11-01,"1","Exploratory",0.361446093994993,"Government"
2022-11-01,"1","Managerial",0.537707199718896,"Government"
2022-12-01,"0","Exploratory",0.509747665492153,"Opposition"
2022-12-01,"0","Managerial",0.286013753710624,"Opposition"
2022-12-01,"1","Exploratory",0.0464162272168485,"Government"
2022-12-01,"1","Managerial",0.76368060602167,"Government"
2023-01-01,"0","Exploratory",0.897577833408437,"Opposition"
2023-01-01,"0","Managerial",0.0470395708183597,"Opposition"
2023-01-01,"1","Exploratory",0.240469017942032,"Government"
2023-01-01,"1","Managerial",0.740493553678751,"Government"
2023-02-01,"0","Exploratory",0.682490027308818,"Opposition"
2023-02-01,"0","Managerial",0.244610974066063,"Opposition"
2023-02-01,"1","Exploratory",0.449793300799071,"Government"
2023-02-01,"1","Managerial",0.439902177734558,"Government"
2023-03-01,"0","Exploratory",0.582275185772533,"Opposition"
2023-03-01,"0","Managerial",0.193249299358266,"Opposition"
2023-03-01,"1","Exploratory",0.246705833621684,"Government"
2023-03-01,"1","Managerial",0.572727022458576,"Government"
2023-04-01,"0","Exploratory",0.645562509131,"Opposition"
2023-04-01,"0","Managerial",0.29529103417377,"Opposition"
2023-04-01,"1","Exploratory",0.341301090261534,"Government"
2023-04-01,"1","Managerial",0.553742673832162,"Government"
2023-05-01,"0","Exploratory",0.481220481425091,"Opposition"
2023-05-01,"0","Managerial",0.384024351296699,"Opposition"
2023-05-01,"1","Exploratory",0.287989699267677,"Government"
2023-05-01,"1","Managerial",0.587995603576678,"Government"
2023-06-01,"0","Exploratory",0.547422742202824,"Opposition"
2023-06-01,"0","Managerial",0.363114111132875,"Opposition"
2023-06-01,"1","Exploratory",0.265122150438427,"Government"
2023-06-01,"1","Managerial",0.63534006131908,"Government"
2023-07-01,"0","Exploratory",0.679228893642997,"Opposition"
2023-07-01,"0","Managerial",0.146054834748598,"Opposition"
2023-07-01,"1","Exploratory",0.197933415906167,"Government"
2023-07-01,"1","Managerial",0.67654204559869,"Government"
2023-09-01,"0","Exploratory",0.597735011857893,"Opposition"
2023-09-01,"0","Managerial",0.269586881147483,"Opposition"
2023-10-01,"0","Exploratory",0.466534955546913,"Opposition"
2023-10-01,"0","Managerial",0.411820284145168,"Opposition"
2023-10-01,"1","Exploratory",0.356174430068102,"Government"
2023-10-01,"1","Managerial",0.535530483028813,"Government"
2023-11-01,"0","Exploratory",0.600730892000227,"Opposition"
2023-11-01,"0","Managerial",0.25597512843386,"Opposition"
2023-11-01,"1","Exploratory",0.324755850196185,"Government"
2023-11-01,"1","Managerial",0.501123668697532,"Government"
2023-12-01,"0","Exploratory",0.669446914806926,"Opposition"
2023-12-01,"0","Managerial",0.142598274335403,"Opposition"
2023-12-01,"1","Exploratory",0.381872740057347,"Government"
2023-12-01,"1","Managerial",0.497887578028809,"Government"
2024-01-01,"0","Exploratory",0.863441408798833,"Opposition"
2024-01-01,"0","Managerial",0.0969264180603134,"Opposition"
2024-01-01,"1","Exploratory",0.480326874686993,"Government"
2024-01-01,"1","Managerial",0.441448997611383,"Government"
2024-02-01,"0","Exploratory",0.563001969951332,"Opposition"
2024-02-01,"0","Managerial",0.190335026928728,"Opposition"
2024-02-01,"1","Exploratory",0.248338120075847,"Government"
2024-02-01,"1","Managerial",0.524091722503018,"Government"
2024-03-01,"0","Exploratory",0.742935542298827,"Opposition"
2024-03-01,"0","Managerial",0.108853304419877,"Opposition"
2024-03-01,"1","Exploratory",0.355925569423224,"Government"
2024-03-01,"1","Managerial",0.544829141627706,"Government"
2024-04-01,"0","Exploratory",0.747869770827756,"Opposition"
2024-04-01,"0","Managerial",0.164084384645168,"Opposition"
2024-05-01,"0","Exploratory",0.71303845635875,"Opposition"
2024-05-01,"0","Managerial",0.239978534276555,"Opposition"
2024-05-01,"1","Exploratory",0.337457162729997,"Government"
2024-05-01,"1","Managerial",0.586535179694275,"Government"
2024-06-01,"0","Exploratory",0.723713618451439,"Opposition"
2024-06-01,"0","Managerial",0.174805893836386,"Opposition"
2024-06-01,"1","Exploratory",0.25966171173562,"Government"
2024-06-01,"1","Managerial",0.609614675900945,"Government"
2024-07-01,"0","Exploratory",0.74092106080944,"Opposition"
2024-07-01,"0","Managerial",0.101910692233894,"Opposition"
2024-07-01,"1","Exploratory",0.393557811726688,"Government"
2024-07-01,"1","Managerial",0.343738288964519,"Government"
2024-09-01,"0","Exploratory",0.80557111446389,"Opposition"
2024-09-01,"0","Managerial",0.146585160456478,"Opposition"
2024-10-01,"0","Exploratory",0.581508236746552,"Opposition"
2024-10-01,"0","Managerial",0.281458207021806,"Opposition"
2024-10-01,"1","Exploratory",0.101382409674144,"Government"
2024-10-01,"1","Managerial",0.629798076828649,"Government"
2025-03-01,"0","Exploratory",0.711754946358076,"Opposition"
2025-03-01,"0","Managerial",0.230588541116974,"Opposition"
2025-04-01,"0","Exploratory",0.773732649828615,"Opposition"
2025-04-01,"0","Managerial",0.160746394486874,"Opposition"
2025-04-01,"1","Exploratory",0.596896107173312,"Government"
2025-04-01,"1","Managerial",0.202593273855248,"Government"
2025-05-01,"0","Exploratory",0.725181080041828,"Opposition"
2025-05-01,"0","Managerial",0.210826024258242,"Opposition"
2025-05-01,"1","Exploratory",0.469974448725799,"Government"
2025-05-01,"1","Managerial",0.476356909983852,"Government"
2025-06-01,"0","Exploratory",0.630223135021508,"Opposition"
2025-06-01,"0","Managerial",0.252631975849371,"Opposition"
2025-06-01,"1","Exploratory",0.300758717599207,"Government"
2025-06-01,"1","Managerial",0.610820749401912,"Government"
2025-07-01,"0","Exploratory",0.638741088625548,"Opposition"
2025-07-01,"0","Managerial",0.285934918948541,"Opposition"
2025-07-01,"1","Exploratory",0.545710214582491,"Government"
2025-07-01,"1","Managerial",0.348248053331951,"Government"
2025-10-01,"0","Exploratory",0.7786885852908,"Opposition"
2025-10-01,"0","Managerial",0.0153193688677438,"Opposition"
2025-10-01,"1","Exploratory",0.544255765007605,"Government"
2025-10-01,"1","Managerial",0.393467285687338,"Government"
2025-11-01,"0","Exploratory",0.761127080952897,"Opposition"
2025-11-01,"0","Managerial",0.222228931194298,"Opposition"
