quarter,in_government,parlasent_sentiment,survivor_similarity,speech_count
2017-01-01,1,2.28650932121366,0.4180341418918919,37
2017-04-01,0,1.7861410185502036,0.37224426171428576,35
2017-04-01,1,2.1596275310608934,0.3744465521875,32
2017-07-01,0,1.6688565146178007,0.26302678,2
2017-10-01,0,2.1180195527804027,0.28870869727272724,11
2017-10-01,1,2.5516641282298815,0.325607428,10
2018-01-01,0,2.1230185071752192,0.4165003194871794,39
2018-01-01,1,2.1751815510709,0.4376309696551724,29
2018-04-01,0,1.8744489152322013,0.4066723504347826,23
2018-04-01,1,2.4760263738737396,0.3708011366666667,21
2018-07-01,0,1.8929992480074966,0.33147572363636363,11
2018-07-01,1,2.4136369810689007,0.308725385,6
2018-10-01,0,2.3142893584348547,0.34700922933333334,15
2018-10-01,1,2.3799147450729885,0.37605514642857146,28
2019-01-01,0,1.6797052147951255,0.3698617624,25
2019-01-01,1,2.4322188834089364,0.31811001333333333,33
2019-04-01,0,1.9234205713146593,0.37078816545454546,22
2019-04-01,1,2.2806977508444857,0.3661497575,16
2019-07-01,0,1.7542926267835133,0.32319556666666666,3
2019-07-01,1,2.203081523313334,0.29686807,2
2019-10-01,0,1.9462115926393158,0.3368733342857143,7
2019-10-01,1,3.750724368973782,0.23317665,1
2020-04-01,1,2.6156629908416007,0.43772920666666665,3
2020-07-01,0,1.501358728117939,0.3233370428571428,7
2020-07-01,1,3.155259429360484,0.26418649,5
2020-10-01,0,1.756962024009028,0.35953970064615387,130
2020-10-01,1,2.612517515300341,0.3061045517594937,79
2021-01-01,0,1.7514439670793773,0.3948364191044776,134
2021-01-01,1,2.276154464687465,0.40949758927710844,83
2021-04-01,0,1.995569773213211,0.35317214564102567,78
2021-04-01,1,2.5958758508310704,0.3413734751515151,33
2021-07-01,0,1.6866683612207154,0.3302020475862069,29
2021-07-01,1,2.5265270472816783,0.3329875590909091,11
2021-10-01,0,1.5739063883103275,0.4530557327868852,61
2021-10-01,1,2.8340775158637284,0.3685253461764706,34
2022-01-01,0,1.9310536241032938,0.3694716933898305,59
2022-01-01,1,2.836830239104603,0.3307296247826087,23
2022-04-01,0,2.0252453119844653,0.3722387686,50
2022-04-01,1,2.6792699288617303,0.2700073948,25
2022-07-01,0,1.6444902797984986,0.33560877538461537,13
2022-07-01,1,2.6449967974869044,0.30050009,14
2022-10-01,0,1.617776790373678,0.4068211973913044,46
2022-10-01,1,2.6772408851270098,0.3395403673333333,15
2023-01-01,0,1.6341621881797548,0.3901953463076923,65
2023-01-01,1,2.5644130965249685,0.30469175,13
2023-04-01,0,1.8470988608128704,0.4119661007843137,51
2023-04-01,1,2.503535905046494,0.36832831625,24
2023-07-01,0,1.6546452915444338,0.41683295625,8
2023-07-01,1,2.797918344285997,0.31612064,5
2023-10-01,0,2.0815443457986422,0.3444925412,25
2023-10-01,1,2.818189793697076,0.30338825999999997,11
2024-01-01,0,1.829129033145104,0.430759898,15
2024-01-01,1,2.8732386403962358,0.33390625285714287,14
2024-04-01,0,1.438265511217245,0.44586580791666663,24
2024-04-01,1,2.821270297552858,0.27205566000000003,8
2024-07-01,0,1.258600452446336,0.44792982833333334,6
2024-07-01,1,1.8452854989015537,0.5389755,1
2024-10-01,0,1.9973582574545643,0.379941235,14
2024-10-01,1,2.8850667561461902,0.274730562,5
2025-01-01,0,3.0893660668311096,0.33161748999999996,2
2025-04-01,0,1.5673794387712967,0.3906046442105263,19
2025-04-01,1,2.5635503129669313,0.3699193984848485,33
2025-07-01,0,1.7491523354379352,0.423656712,10
2025-07-01,1,2.3192514068133203,0.3963125675,8
2025-10-01,0,1.1096791311658674,0.38042003,2
2025-10-01,1,2.1904585597857498,0.33636236,3
