speaker_norm,in_government,date,speech_idx,Managerial,Exploratory,parlasent_sentiment_sent,survivor_similarity_sent
alice-mary higgins,0,2022-05-18,0,0.0785869105109761,0.339582745194161,1.887795131052694,0.30521488
victor boyhan,0,2022-05-18,0,0.129932530382504,0.789520316009757,2.619187947802923,0.7732096
victor boyhan,0,2022-05-12,0,0.689267701049894,0.244761632500729,3.413231745362282,0.40144214
victor boyhan,0,2022-05-04,0,0.720684751537889,0.225793515772361,3.0867921182742486,0.34498113
lisa chambers,1,2022-05-04,0,0.574085544834574,0.36743942300968,2.7306089880876243,0.3201658
catherine connolly,0,2022-04-27,0,0.144860380789865,0.747991366675844,1.709464812227948,0.4243257
micheal martin,1,2022-03-29,0,0.910459313096427,0.0186397433209771,3.812870881774209,0.14210242
micheal martin,1,2022-03-29,1,0.60061544110878,0.158289729577742,3.2296288081190805,0.36264813
ivana bacik,0,2022-03-29,0,0.473419087285446,0.367996343326005,3.2225146114826204,0.329431
alice-mary higgins,0,2022-03-09,0,0.2612648850315,0.528033774916331,2.3728237728539265,0.39164305
micheal martin,1,2022-03-08,0,0.424396911062526,0.4437498139064,2.0486609836419425,0.35885763
jennifer murnane o'connor,1,2022-03-08,0,0.384876706707294,0.224360957842516,3.4179675721309404,0.33925152
catherine connolly,0,2022-03-03,0,0.209269245067612,0.703736655143397,2.2626956864627763,0.5058385
ivana bacik,0,2022-03-02,0,0.555560529402753,0.354267488474387,2.6899948160174074,0.43195426
jennifer murnane o'connor,1,2022-03-02,0,0.723227732744645,0.23832726233377,3.409361578715153,0.4803735
sean canney,0,2022-03-02,0,0.688021700081617,0.21520277972924,2.630197049277585,0.36492607
micheal martin,1,2022-02-09,0,0.422792728049171,0.300759101986229,3.4561691761016844,0.2669057
ivana bacik,0,2022-02-08,0,0.622054664991476,0.253289902660312,2.5795362032949924,0.24179044
jennifer murnane o'connor,1,2022-02-08,0,0.585572640268737,0.340335670985656,2.1327080837317873,0.34654015
micheal martin,1,2022-01-26,0,0.622838165587503,0.100230303248572,3.298073391119639,0.3331095
jennifer murnane o'connor,1,2022-01-26,0,0.265622985939247,0.448190654585328,2.5730482533574106,0.38443327
sean canney,0,2022-01-20,0,0.119370754033052,0.447868779933347,1.7617381264056478,0.39214873
catherine connolly,0,2022-01-20,0,0.057700318571964,0.700324853201997,2.023839178994514,0.5495962
thomas pringle,0,2022-01-20,0,0.13502742802334,0.425033390030243,1.449947399316264,0.3740427
ivana bacik,0,2022-01-19,0,0.248916821458121,0.364000874374819,2.1940768797482764,0.42890173
jennifer murnane o'connor,1,2022-01-19,0,0.232103366318879,0.317964079976121,2.6172811451833695,0.42048657
catherine connolly,0,2024-10-23,0,0.0694982142473505,0.66114158418938,2.172014964265483,0.37206143
catherine connolly,0,2024-10-23,1,0.0909797176773803,0.648059605425798,1.8115878351803485,0.38187635
catherine connolly,0,2024-10-17,0,0.0727803817730716,0.752511537551094,1.809081634250926,0.5194474
catherine connolly,0,2024-10-16,0,0.342437546715745,0.533089871021095,2.4417811036109924,0.38850772
catherine connolly,0,2024-10-15,0,0.957899574872662,0.0298725035246723,2.6635089686938693,0.25235665
ivana bacik,0,2024-10-02,0,0.145791773540916,0.812022786701986,1.166100695418815,0.29686683
catherine connolly,0,2024-10-02,0,0.123318975972526,0.858735366993272,1.9335363768041136,0.35810858
catherine connolly,0,2024-09-19,0,0.0980541758612493,0.878041656487398,1.7501607225699858,0.46833554
micheal martin,1,2024-07-04,0,0.343738288964519,0.393557811726688,1.8452854989015537,0.5389755
gerard p. craughwell,0,2024-06-13,0,0.120268514436619,0.819382979434916,1.8771531569826252,0.6368886
lynn ruane,0,2024-06-11,0,0.499410276311087,0.35339653649787,1.2684410039497458,0.34460825
alice-mary higgins,0,2024-05-08,0,0.259771047752739,0.71856746963887,1.5751092955470083,0.28831267
jennifer murnane o'connor,1,2024-05-01,0,0.367065257835377,0.557611447157667,1.9167323365807536,0.34556144
thomas pringle,0,2024-05-01,0,0.328181335324764,0.607843294271485,0.927577369660139,0.40269196
catherine connolly,0,2024-05-01,0,0.207464850414954,0.759900262072485,1.422519274554245,0.5531558
sean canney,0,2024-04-30,0,0.443116719694137,0.522732607116325,1.5756062085429827,0.40691578
catherine connolly,0,2024-04-30,0,0.0971708188017468,0.82136726398849,1.9593980126082895,0.3969662
catherine connolly,0,2024-04-30,1,0.0562537785107348,0.746382795686914,1.9871003115549684,0.32539803
catherine connolly,0,2024-04-23,0,0.0434909528998319,0.894131097661138,1.4025597827014875,0.57213175
niall collins,1,2024-03-21,0,0.827445506382664,0.0688439843761539,3.257989303423808,0.24398598
catherine connolly,0,2024-03-05,0,0.0892732034464184,0.5888857256079,1.563276067255966,0.5426593
lisa chambers,1,2024-02-27,0,0.682988187634311,0.293134316016022,3.034694925502494,0.30268636
catherine connolly,0,2024-02-08,0,0.160575544771942,0.736792416155301,1.1948972741762798,0.29308623
frances black,0,2024-01-30,0,0.200663314755078,0.761785079116516,1.3379078973084688,0.4230994
alice-mary higgins,0,2024-01-23,0,0.0274076614669421,0.961884622879319,2.166007319009122,0.3989647
alice-mary higgins,0,2024-01-23,1,0.0974073138509131,0.871718547101487,2.556636816575466,0.387586
gerard p. craughwell,0,2024-01-23,0,0.0789314483101533,0.893379097423228,1.8755265553156997,0.5314955
